Smiles,ATSC7c,SdssC,ATSC6p,XLogP,VCH-6,GATS4c,CrippenLogP,ATSC8s,VCH-7,GATS6i,SpMax4_Bhv,GATS7i,ALogp2,ATSC5v,GATS4e,GGI5,ALogP,VE1_Dzp,minaaN,SpMin4_Bhm,minHBint6,ATSC3e,ATSC8i,ATSC6e,gmin,hmin,VR1_Dt,ATSC6v,ATSC1i,AATSC2m,VC-5,ATSC2i,ATSC3v,maxHBa,ETA_BetaP,maxHother,AATSC8s,GATS7c,BCUTp-1h,BCUTw-1h,GGI6,ATSC8v,MLFER_A,ATSC5e,ATSC7v,ATSC6c,GGI7,VR1_D,AATSC3i,GATS8c,Actual,Predicted,Set
COC1(c2nc3nc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)COC1,-0.104571138,0.0,-3.365758968,3.281,0.3000793,0.893468921,4.20485,-11.70736962,0.398023378,1.216093279,3.652888045,1.047562561,1.13891584,1938.074456,0.56945137,1.778611111,1.0672,0.309551842,3.81247023,1.719404333,1.437955377,2.586193797,-44.84578568,0.294501942,-0.664598409,-0.218054389,526.0741368,-610.9483732,-28.81981018,4.177425824,0.144803998,7.107345022,-513.2142372,11.65118511,1.34722,0.646789783,-0.055223442,1.066181523,12.1361352,34.96885427,1.321179138,-2194.920304,0.5,0.880947161,-477.8637217,0.085401931,0.895018424,569.1420712,-0.089666456,1.005013287,8.025166045,7.734839878472067,Train
COC(C)(c1nc2nc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1)C1CCCC1,-0.112866476,0.0,-1.152539946,5.98,0.264104537,1.138573653,6.38475,-8.612219139,0.4491459,1.128241777,3.680012615,1.037789421,1.60452889,1617.558735,0.77191857,2.084444444,1.2667,0.258680595,3.868148392,1.724171079,1.451765208,2.411245554,-27.802386,0.841695001,-0.647710592,-0.423054389,1591.545699,-35.89398668,-25.08852806,5.173031632,0.312558657,2.520992287,-368.872997,11.76560238,1.26923,0.626357684,-0.031091044,1.056086995,12.59725296,34.96885439,1.585668934,-2419.871021,0.5,0.636911699,3.900762777,0.046964822,1.111181973,461.6728923,-0.095262457,0.938582074,8.888401475,8.473936174587754,Train
COc1ccccc1C(C)(OC)c1nc2nc(-c3n[nH]c(=O)o3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,-0.197068218,0.0,-4.661718898,6.528,0.219713531,1.050584715,6.57425,-3.674688031,0.335692183,1.188418729,3.706825724,0.950015894,2.51476164,1481.182173,0.746640854,2.337777778,1.5858,0.160257833,3.997747582,1.701745857,0.0,2.356250631,-30.42690076,-0.331373551,-0.981557406,-0.391464882,1181.518261,-905.767989,-24.56134806,5.815502922,0.241792387,16.98833212,-245.5452543,11.82403124,1.375,0.64926224,-0.013218302,1.030700444,12.68357791,34.96885453,1.757188209,-1975.450094,-0.102,1.209925941,647.7449452,-0.101402434,1.274411848,465.5889564,-0.084009853,0.899410966,8.085022528,8.526106242454796,Train
CC(F)(c1c(F)cccc1F)c1nc2nc(-c3n[nH]c(=O)o3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,-0.128519401,0.0,-2.08489643,7.312,0.215992015,1.044844822,6.61145,-23.83536062,0.340297471,1.089034868,3.708009609,1.025280796,9.78751225,1189.179939,0.744658003,2.1675,3.1285,0.161421378,3.850068519,1.700627873,0.0,1.691047091,-22.51165341,-0.494870003,-2.659312036,-0.335988664,2011.972904,-15.20934842,-19.90534455,5.838217305,0.236193595,-25.91959141,-227.5911733,16.92215493,1.40244,0.694307707,-0.105934936,1.05558045,12.30593383,34.96885453,1.813560091,-1715.794395,-0.102,0.551155653,-320.8333947,-0.067375289,1.276962868,443.5995051,-0.177543737,0.907704177,9.539102157,9.343450842313917,Train
CC(F)(c1ncccc1F)c1nc2nc(-c3n[nH]c(=O)o3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,-0.104298853,0.0,-1.159160193,6.342,0.213452328,1.017010055,6.32725,-21.53399374,0.328975304,1.109185697,3.698000591,1.086905871,7.01614144,1077.761184,0.747912338,2.111944444,2.6488,0.18770689,3.8780575,1.700029054,0.0,3.042372567,-21.42415636,-0.3190623,-2.385585184,-0.304738664,1415.169488,29.70183717,-24.80170726,5.669050662,0.214075075,-26.23026179,-263.5953203,16.83882159,1.41875,0.680418818,-0.098328739,1.067035208,12.26993427,34.96885447,1.717188209,-1691.342964,-0.102,0.697298458,-399.8779736,0.012058856,1.192779195,427.8158028,0.02631509,0.963045558,9.444905551,9.287607304980407,Train
COC1(c2nc3nc(-c4n[nH]c(=O)o4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)CCOc2cccnc21,-0.114751063,0.0,-4.429016429,5.031,0.238967846,1.034495909,5.72325,-11.7953659,0.375660994,1.164852269,3.700848077,0.992409166,0.58920976,1469.393482,0.730001875,2.174722222,0.7676,0.110427762,4.001975978,1.699813151,0.0,2.864582,-30.69460081,-0.059143,-0.965446295,-0.394937105,543.4441997,-813.5833132,-27.42291117,4.252595084,0.191691197,1.808356145,47.23687115,11.83390326,1.3869,0.654414775,-0.045192973,1.00905073,12.7235246,34.96885454,1.615147392,-2261.233291,-0.102,0.714896,405.2318926,0.020394703,1.13725907,460.5669159,-0.063061837,0.960763312,8.130006,8.097766552822417,Train
COC(C)(c1c(F)cccc1F)c1nc2nc(-c3n[nH]c(=O)o3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,-0.157673984,0.0,-3.786076799,6.679,0.215992015,1.047638584,6.28835,-8.910200553,0.340676019,1.144433028,3.708013759,0.909348874,6.744409,1591.94211,0.716467248,2.275277778,2.597,0.148896497,3.915624075,1.701189446,0.0,1.729328321,-45.1081111,-1.640998092,-1.617645369,-0.323687105,1371.46193,-775.8916189,-22.85688896,6.06853658,0.241303989,-5.768545249,-208.426706,15.34121792,1.3869,0.668828356,-0.034941963,1.030416958,12.60349561,34.96885456,1.853560091,-1995.543592,-0.102,0.785297097,101.4687068,-0.106060525,1.317779195,459.9578531,-0.216786796,0.922859624,9.223298816,9.024771672026967,Train
CC(C)(C)C(C)(F)c1nc2nc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,-0.122220264,0.0,-7.313977003,6.21,0.191935753,1.030641092,6.56375,-16.09175239,0.310084516,1.320621259,3.659863459,1.104580305,13.87786009,3068.519415,0.981124529,2.282222222,3.7253,0.261963638,3.778828254,1.719644156,1.268477847,2.125104092,-12.42739515,0.652714878,-1.741773455,-0.355217059,3454.444944,-1363.622181,-25.07296815,9.317834881,0.944493852,-3.224433886,-1420.658008,16.65746357,1.29054,0.639170184,-0.064886098,1.060103313,12.32387878,34.96885432,1.801088435,-3037.303431,0.5,0.997979648,78.83099037,0.103131525,1.370748299,782.3562516,-0.163997287,0.911029128,7.887394998,8.045996465156714,Train
CC1COCCC1(F)c1nc2nc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,-0.113609598,0.0,-5.478270416,4.927,0.23360242,1.069753923,5.55415,-13.06723373,0.385638749,1.26410625,3.663009282,1.103510824,2.08542481,2016.300421,0.951006561,1.990555556,1.4441,0.274544416,3.789840056,1.719593262,1.292275411,1.81890678,-10.12427271,0.650479925,-1.667120678,-0.375217059,1480.827851,-815.4386298,-26.09520321,4.632465148,0.300921949,-12.52139449,-386.2045979,16.94625986,1.29605,0.646670184,-0.053996834,1.00902296,12.31700398,34.96885437,1.525260771,-2707.930423,0.5,1.539431693,22.71986967,0.020271404,1.077345522,527.0921191,-0.06794546,0.8743581,8.363411816,8.399871895160867,Train
COC(C)(c1c(F)cccc1F)c1nc2nc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,-0.133519784,0.0,-3.606955763,6.297,0.215992015,1.09081997,6.28835,-8.080984064,0.340676019,1.145454814,3.708855233,0.912355526,6.744409,1513.264432,0.710314418,2.275277778,2.597,0.204693727,3.776735186,1.719860106,1.260561987,1.264196306,-46.0507857,-1.693970107,-1.614366048,-0.324859944,1371.46193,-785.4852389,-25.85585345,6.098935824,0.24335562,-6.736329294,-226.8696035,15.34253794,1.39286,0.666703253,-0.031443518,1.027912406,12.61317547,34.96885456,1.853560091,-1852.047692,0.5,0.809893383,31.1709597,-0.156810496,1.317779195,459.9578531,-0.182098451,0.911353482,9.344861565,8.874264529448471,Train
