Smiles,GGI8,SpMax4_Bhv,SpMax3_Bhm,SHssNH,nHssNH,nHBint6,C3SP3,minaaN,BCUTw-1h,ZMIC2,SpMax1_Bhm,SpMax2_Bhm,piPC3,GGI6,VCH-7,ATSC4i,AATS0m,GGI7,SdssC,AATS8v,SpMin8_Bhv,SpMax8_Bhv,ATS7s,VCH-6,GGI4,nF9Ring,MAXDP,GATS7e,GATS6m,GATS2v,minaaCH,maxHBa,nBase,R_TpiPCTPC,hmax,VC-5,ATSC6m,minHBint6,maxHBint4,MDEC-33,SaasC,VC-3,MDEC-13,BCUTp-1h,VPC-5,ATS0m,AATS7p,MDEO-11,ATSC1m,minwHBa,pIC50
COc1ncc(-c2nc3c(n2C(C)C)[C@@H](c2ccc(Cl)cc2)N(c2cc(Cl)cn4cnnc24)C3=O)c(OC)n1,0.846324641,3.588510355,3.952166149,0.0,0.0,0.0,0.0,4.118166411,34.96985603,37.44900408,4.150479236,4.065686314,5.488937726,1.751156463,0.38051402,49.52588195,141.3786549,1.26307398,-0.19371002,190.0151646,1.37688793,2.874412376,674.0308642,0.216848544,3.68,1.0,7.330674103,1.155785619,0.856263229,0.624643173,1.626358447,14.3306741,0.0,9.19762843,1.042081151,0.263341686,-690.4051395,0.0,0.0,23.68574879,7.021610291,1.489855024,10.14134205,13.27006933,4.249384205,8624.097949,1.45099483,0.0,123.6447389,-0.19371002,8.543633967
COc1ncc(-c2nc3c(n2C(C)C)[C@@H](c2ccc(Cl)cc2)N(c2cc(Cl)c[nH]c2=O)C3=O)c(OC)n1,0.780816956,3.581334435,3.951757515,0.0,0.0,1.0,0.0,4.25675956,34.96985586,38.20483075,4.130406599,4.017526351,5.368892319,1.628707483,0.345270929,55.07918035,141.4137243,1.275191327,-0.327413724,182.2106708,1.358260739,2.864865007,665.5308642,0.191230913,3.738888889,0.0,7.022000633,1.160861123,0.867239916,0.662296639,1.58962291,14.02200063,0.0,8.891060148,1.034303373,0.246941232,-778.4514763,0.956400982,0.0,23.68574879,6.031300777,1.416350461,10.14134205,12.94078794,3.867071619,8343.409731,1.423095484,0.2,83.72269169,-0.327413724,7.116100194
CCn1nc2c(c1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1OCCN(C)C)C2=O,0.838262157,3.341003576,3.920772377,0.0,0.0,0.0,1.0,4.843929289,34.96985563,36.00440661,4.082355339,3.965663514,5.099103942,1.619818594,0.365281188,20.45627964,115.4891121,1.099844104,-0.039068633,172.5316816,1.366883829,2.909702441,612.9506173,0.183179911,3.271666667,0.0,7.116526875,1.435647853,0.811109382,0.722496755,2.032219913,14.11652687,1.0,5.556601439,0.918801869,0.27598553,390.2524465,0.0,0.0,21.16725477,9.409410661,1.772087437,12.99720354,13.44870565,4.374219885,7737.770513,1.401012183,0.0,137.4392417,-0.039068633,8.387216143
CNc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,0.862953515,3.590617428,3.952084931,0.478000299,1.0,1.0,0.0,4.378947347,34.96985593,36.81140635,4.134846451,4.033150546,5.403240286,1.806712018,0.360853696,49.07408203,133.8246046,1.353316327,-0.304327304,183.7120115,1.370891744,2.900970665,712.3641975,0.189031479,3.85,0.0,7.147930339,1.267788667,0.84756882,0.634075862,1.65712291,14.14793034,0.0,8.794837027,1.028130533,0.271902502,-595.5996382,0.978242094,2.67058701,23.68574879,6.576751585,1.549237587,12.5141788,13.02422175,4.255970597,8430.950092,1.396189112,0.2,102.5600553,-0.304327304,9.721246399
COc1ccc(C(N)=O)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,0.790887188,3.670901588,3.952073205,0.0,0.0,2.0,0.0,4.951385388,34.96985591,40.92255102,4.124206052,3.978070707,5.368892319,1.759455782,0.380793009,-0.789077088,129.3151621,1.376771542,-0.668717423,176.9987229,1.335727036,2.94607193,682.4753086,0.204076345,3.778888889,0.0,7.226642825,1.198517299,0.970534082,0.736730579,1.636230239,14.22664283,0.0,8.832246452,0.967060719,0.294508918,-1117.772794,1.214953278,0.0,26.31334828,8.934228696,1.62437308,11.81717567,13.26691149,4.358561193,8276.170372,1.491885014,0.111111111,64.54838164,-0.535031286,10.0
Cc1cc(Cl)ccc1C1c2c(nn(Cc3ccccn3)c2C(C)C)C(=O)N1c1cccc(Cl)c1F,0.737221277,3.679492976,3.932635704,0.0,0.0,0.0,1.0,4.46442774,34.96985565,37.44586022,4.088394284,3.976544138,5.226418491,1.63537415,0.373282047,4.866665627,135.0620217,1.091163549,-0.252947076,173.6485496,1.321452092,2.795527016,616.962963,0.208025111,3.142777778,0.0,7.45555751,1.260648948,0.763450772,0.796377637,1.714436823,15.45555751,0.0,6.258155451,0.969240896,0.303899244,441.3367997,0.0,0.0,23.19673584,7.297130617,1.510147939,9.163445426,13.33219412,4.363604888,7833.59726,1.542193792,0.0,84.32743109,-0.300491089,8.186619193
COC[C@@H](C)n1c(-c2cnc(OC)nc2OC)nc2c1[C@@H](c1ccc(Cl)cc1)N(c1cc(Cl)c(=O)n(C)c1)C2=O,0.940806878,3.58957817,3.952391115,0.0,0.0,0.0,0.0,4.29094419,34.96985614,37.55572774,4.135618644,4.057985297,5.416655803,1.985487528,0.35655006,50.23582664,134.7268217,1.525226757,-0.252491672,186.8464724,1.390261162,2.878695678,827.558642,0.189031479,3.77,0.0,7.258019703,1.01492239,0.811980052,0.591223657,1.591816926,14.2580197,0.0,8.552760356,1.037591355,0.273974602,-140.7138062,0.0,0.0,22.73664397,6.094899235,1.44910477,11.42548228,13.02161736,4.300370856,8891.97023,1.418424955,0.142857143,133.4490204,-0.252491672,7.663240166
Cc1cc(Cn2nc3c(c2C(C)C)C(c2ccc(Cl)cc2)N(c2cccc(Cl)c2F)C3=O)n(C)n1,0.724875598,3.694341267,3.937861192,0.0,0.0,0.0,1.0,4.466967763,34.96985566,37.85477236,4.086790158,3.973866272,5.232444622,1.463038549,0.418095284,20.52543987,133.6702585,1.186685091,-0.252237987,169.9153916,1.344588526,2.818046904,569.1337449,0.265048869,3.040555556,0.0,7.400306289,1.163091747,0.743715386,0.747060179,1.709667922,15.40030629,0.0,6.169758016,0.968864936,0.299494225,941.4651467,0.0,0.0,20.94677508,7.219190674,1.607801528,9.708591359,13.03700772,4.335022882,7886.545252,1.531344562,0.0,105.3300212,-0.30121209,8.102372909
COc1ccc(C(=O)N(C)C)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cccc(Cl)c1F)C2=O,0.95215262,3.673812119,3.954270353,0.0,0.0,0.0,0.0,4.901002735,34.96985612,41.44719483,4.126075842,3.992665553,5.403240286,1.921088435,0.36582916,6.70662594,131.080446,1.439271542,-0.506433472,184.4863603,1.38397363,2.882063499,739.1419753,0.204076345,3.778888889,0.0,7.570685286,1.092031235,0.783515952,0.675454311,1.666482791,15.57068529,0.0,8.761132891,1.027060719,0.341585555,193.1822009,0.0,0.0,26.59010951,5.798708569,1.712287032,12.77936427,13.10817415,4.488105967,8782.389881,1.461085608,0.111111111,104.2673299,-0.358105368,9.853871964
CC(O)(c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(O)CC1)c1ccc(Cl)cc1)c1ncccn1,1.026494394,3.708392602,3.921404533,0.0,0.0,2.0,2.0,4.162309104,34.96985623,40.97159306,4.058942574,3.953694017,5.2907891,2.175011338,0.352568541,25.85697112,136.9140266,1.473249717,-0.469120265,188.4123749,1.285229005,2.925127314,923.1208848,0.212131375,3.592777778,1.0,8.55567919,1.038024141,0.815119327,0.836323387,1.216103751,16.55567919,0.0,5.420916738,1.064428689,0.358145715,-645.4953976,0.293972611,0.0,11.0594395,3.092446416,2.114757195,1.99815848,13.99554593,4.555012207,9036.325754,1.43169399,0.400594355,22.50097634,-0.714915281,8.356547324
