Smiles,Molecule_ID,pIC50
CC(C)(C)CN1[C@H]2CCN(c3ccc(C(=O)O)cc3)C(=O)[C@H]2[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,118636523,7.318758763
C[C@H]1CC[C@H](Cn2c(N3CCO[C@@H]4CC(F)C[C@H]43)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,90684129,7.318758763
CC(C)(C)C[C@H]1N[C@@H](C(=O)N[C@H]2C[C@@](C)(O)C2)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)ccc12,52938351,7.318758763
C[C@@H](Nc1nc(C(=O)O)nc2nc(C3CCCCN3C)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,90317988,7.318487413
COCCCOc1ccc(C)cc1-c1nc2nc(C(=O)O)nc(N[C@H](C)C3CCC3)c2n1Cc1ccc(Cl)cc1,90325182,7.312560225
C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(C3(O)CCOCC3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,134819657,7.310158591
Cc1ccnc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)c1F,77847207,7.309981219
O=C(O)c1ccc2c3n(nc2c1)[C@@H]1[C@H](CO3)N(CC2CCCCC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,130376459,7.30980392
CC(=O)NC(CCCCNC(=O)c1cccc(I)c1)C(=O)NCCCCCC(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@]1(C)CCCCCC/C=C/CCC[C@@](C)(C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)[C@@H](C)O,168269466,7.30980392
CC[C@](O)(c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cc1)[C@@]2(OC)c1ccc(Cl)cc1)C1CCN(CC(=O)O)CC1,135281491,7.30980392
O=C(O)c1ccc(N2CC[C@H]3[C@@H](C2=O)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc4cc(Cl)ccc42)N3CC2CC2)c(O)c1,118636557,7.30980392
CC[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(=O)NCCO)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,67999887,7.30980392
COC1CCN(c2nc3nc(-c4n[nH]c(=O)o4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)C(C)C1,90325111,7.308918508
CC(C)c1ccnc(-c2nc3nc(C(=O)O)nc(N[C@H](c4ccccc4)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)c1,90317990,7.307770164
COC(=O)c1nc(N[C@H](C)C2CCC2)c2c(n1)nc(N1CCOC[C@H]1c1ccccc1)n2C[C@H]1CC[C@H](C)CC1,134612366,7.306448914
C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3cccc(C(N)=O)c3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,77847714,7.306448914
C[C@@H](Nc1nc(C(O)CO)nc2nc(N3CCOC[C@H]3c3ccccc3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,134612371,7.306360974
Cc1cc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)ccc1F,90325351,7.303643611
Nc1ccc(C[C@H](NC(=O)CC(c2ccccc2)c2ccccc2)C(=O)O)cc1,137640724,7.301029996
Cc1c(-c2cc(C(C)C)ccn2)n(Cc2ccc(C(F)(F)F)cc2)c2c(N[C@H](C)C3CCC3)nc(C(=O)O)nc12,76683804,7.301029996
CC[C@@H](c1cnccn1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,68000410,7.301029996
CC[C@@H](c1nccs1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,67999755,7.301029996
CC[C@@H](CN1CCOCC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cn1,58573534,7.301029996
CCC(CC)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cn1,58573637,7.301029996
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H]2CC[C@@H](O)[C@H]2O)C1=O,58573241,7.301029996
CC[C@@H](CO)N1C(=O)[C@@H](CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,56591282,7.301029996
CC[C@@H](CCS(C)(=O)=O)N1C(=O)[C@@H](CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,68000640,7.301029996
CCNC(=O)[C@@H]1CCCN1c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,90684101,7.301029996
C=C(C)c1cc(C)nc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)c1,90324909,7.299469343
CC(C)c1ccc(O)c(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)c1,90325515,7.29817307
C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3cc(OC4CCC4)ccn3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,77846540,7.294307303
CS(=O)(=O)c1ccc2c3n(nc2c1)[C@@H]1[C@H](CO3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,130376437,7.292429824
C[C@H]1Oc2c3ccc(C(=O)O)cc3nn2[C@@H]2[C@H]1N(CC1CC1)[C@@]1(C(=O)Nc3cc(Cl)ccc31)[C@H]2c1cccc(Cl)c1F,130376445,7.292429824
O=C(N[C@H]1CC[C@H](O)CC1)[C@@H]1NC2(CCCCC2)[C@@]2(C(=O)Nc3nc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,137646573,7.292429824
COc1ncc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2Cc2ccc(C(F)(F)F)cc2)cc1Cl,90318696,7.292429824
C[C@@H]1OCCN(c2nc3nc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)[C@@H]1C,134819516,7.292344676
COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)[C@@H](c1ccc(C#N)c(F)c1)N(c1cc(Cl)cn(C)c1=O)C2=O,71677940,7.291562102
CC[C@@H](C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(C(C)N(CC)C(=O)C3CCN(C(C)=O)CC3)cc1)C2c1ccc(Cl)cc1,58437629,7.290730039
C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3cccc4c3CNC4)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,77846786,7.289036881
COCCOCCOCCOCCOC(=O)OC(C)OC(=O)c1ccc(NC(=O)[C@@H]2N[C@@H](CC(C)(C)C)[C@](C#N)(c3ccc(Cl)cc3F)[C@H]2c2cccc(Cl)c2F)c(OC)c1,71737977,7.289036881
C[C@H]1CC[C@H](Cn2c(C(O)C3CCOCC3)nc3nc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4)c32)CC1,134819674,7.288361462
C[C@@H](Nc1nc(C(=O)O)nc2nc(N3CCOCC3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,90325492,7.28567024
C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3ccc(OC(F)F)cc3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,90324988,7.285335007
CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CC(C)C)[C@@H](C)O)C(=O)N[C@H](C(=O)N[C@@H](CO)C(N)=O)[C@@H](C)O,44449431,7.283996656
C[C@H]1CC[C@H](Cn2cc(Cc3cccnc3)c3nc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,138404113,7.283996656
